index,type,date,country,state,location,activity,severity,time
0,UNPROVOKED,2024-01-03,AUSTRALIA,Queensland,Bargara Beach,SWIMMING,INJURY,AFTERNOON
1,UNPROVOKED,2024-01-03,USA,Hawaii,"Old Man's, Waikiki",SURFING,INJURY,
2,UNPROVOKED,2024-01-03,USA,Hawaii,"Rainbows, Oahu",SWIMMING,INJURY,NOON
3,UNPROVOKED,2024-01-02,AUSTRALIA,Western Australia,"Sandlnd Island, Jurian Bay",,INJURY,NOON
4,UNPROVOKED,2024-01-02,INDIA,Maharashtra,"Vaitarna River, Palghar District",FISHING,INJURY,
5,PROVOKED,2024-01-02,TRINIDAD,,,DIVING,INJURY,
6,UNPROVOKED,2024-01-01,AUSTRALIA,New  South Wales,"Elizabeth Bay, Sydney Harbor",SWIMMING,INJURY,DUSK
7,UNPROVOKED,2024-01-01,BAHAMAS,Paradise Island,Paradise Island Resort,SWIMMING,INJURY,AFTERNOON
8,UNPROVOKED,2024-01-01,AUSTRALIA,South Australia,"Walkers Beach, Elliston",SURFING,INJURY,NOON
9,PROVOKED,2024-01-01,SOUTH AFRICA,Eastern Cape Province,Papiesfontein,FISHING,INJURY,
10,UNPROVOKED,2023-01-12,USA,Hawaii,"Baby Beach, Maui",SURFING,FATALITY,NOON
11,UNPROVOKED,2023-01-12,MEXICO,Sonora,"Tojahui Beach, Yavaros, Huatabampo",DIVING,FATALITY,NOON
12,UNPROVOKED,2023-01-12,AUSTRALIA,South Australia,Ethel Beach,SURFING,FATALITY,NOON
13,UNPROVOKED,2023-01-12,AUSTRALIA,New South Wales,Old Bar,SURFING,INJURY,AFTERNOON
14,UNPROVOKED,2023-01-12,AUSTRALIA,Western Australia,Wedge Island,SURFING,INJURY,AFTERNOON
15,UNPROVOKED,2023-01-12,NEW ZEALAND,South Island,Riverton,SWIMMING,,NIGHT
16,,2023-01-12,MEXICO,Guerrero,"Playa Quieta, Ixtapa, Zihuatanejo",SWIMMING,FATALITY,MORNING
17,,2023-01-12,MEXICO,Guerrero,"Playa Quieta, Ixtapa, Zihuatanejo",SWIMMING,INJURY,MORNING
18,UNPROVOKED,2023-01-12,AUSTRALIA,Queensland,1770,DIVING,INJURY,AFTERNOON
19,UNPROVOKED,2023-01-12,BAHAMAS,New Providence   Isoad,Sandals Resort,SURFING,FATALITY,NOON
20,UNPROVOKED,2023-01-12,MEXICO,Jalisco,San Patricio Melaque,SWIMMING,FATALITY,MORNING
21,UNPROVOKED,2023-01-11,AUSTRALIA,Queensland,Clack Island,SWIMMING,INJURY,NOON
22,UNPROVOKED,2023-01-11,BAHAMAS,Grand  Bahama Island,Tiger Beach,DIVING,FATALITY,MORNING
23,UNPROVOKED,2023-01-11,AUSTRALIA,South Australia,Port Noarlunga,DIVING,INJURY,NOON
24,UNPROVOKED,2023-01-11,USA,Florida,"Juno Beach, Palm Beach County",SWIMMING,INJURY,MORNING
25,UNPROVOKED,2023-01-11,AUSTRALIA,Westerm Australia,Peak Island,DIVING,INJURY,NOON
26,UNPROVOKED,2023-01-11,NEW ZEALAND,North Island,Cape Pallister,DIVING,INJURY,MORNING
27,,2023-01-11,EGYPT,Southern Red Sea,Fury Shoal,DIVING,,
28,UNPROVOKED,2023-01-10,AUSTRALIA,South Australia,Streaky Bay,SURFING,FATALITY,MORNING
29,UNPROVOKED,2023-01-10,USA,Hawaii,"Pua’ena Point,  Haleiwa, Oahu",SURFING,INJURY,AFTERNOON
30,PROVOKED,2023-01-10,MEXICO,Quintana Roo,Banco Chinchorro Biosphere Reserve,FISHING,INJURY,
31,WATERCRAFT,2023-01-10,AUSTRALIA,Western Australia,"Alexander Bay, Esperance",FISHING,,AFTERNOON
32,UNPROVOKED,2023-01-10,BELIZE,Belize District,"San Pedro , Ambergris Caye",DIVING,INJURY,
33,UNPROVOKED,2023-01-10,USA,Hawaii,"Hanalei Bay, Kauai",SURFING,INJURY,AFTERNOON
34,UNPROVOKED,2023-01-10,USA,California,"Linda Mar, Pacific State Beach, San Mateo County",SURFING,INJURY,AFTERNOON
35,UNPROVOKED,2023-01-10,USA,Hawaii,"Paia, Maui",SURFING,INJURY,NOON
36,UNPROVOKED,2023-01-10,AUSTRALIA,South Australia,Beachport,SWIMMING,INJURY,MORNING
37,UNPROVOKED,2023-01-10,USA,California,"Wildcat Beach, Marin County",SWIMMING,,MORNING
38,UNPROVOKED,2023-01-09,USA,South Carolina,"Myrtle Beach, Horry County",SWIMMING,,AFTERNOON
39,UNPROVOKED,2023-01-09,EGYPT,South Sinai,Dahab,SWIMMING,INJURY,
40,,2023-01-09,USA,Florida,"New Smyrna Beach, Volusia County",SURFING,INJURY,MORNING
41,UNPROVOKED,2023-01-09,USA,Florida,"Satellite Beach, Brevard County",SURFING,INJURY,
42,UNPROVOKED,2023-01-09,PHILIPPINES,Bolinao,"Pangasinan, Ilocos Norte, Luzon Island",FISHING,INJURY,
43,WATERCRAFT,2023-01-09,CORAL SEA,,,,,NIGHT
44,UNPROVOKED,2023-01-09,USA,Florida,"Ponce Inlet, Volusia County",SURFING,INJURY,
45,UNPROVOKED,2023-01-09,USA,Florida,"Ponce Inlet, Volusia County",SWIMMING,INJURY,
46,UNPROVOKED,2023-01-08,AUSTRALIA,New South Wales,"Lighthouse Beach, Port Macquarie",SURFING,,MORNING
47,UNPROVOKED,2023-01-08,USA,North Carolina,"Oak Island, Brunswick County",SWIMMING,INJURY,MORNING
48,WATERCRAFT,2023-01-08,USA,California,"Pebble Beach, San Mateo County",BOATING,INJURY,NOON
49,,2023-01-08,BAHAMAS,New Providence   Isoad,"Saunders Beach, Nassau",,INJURY,MORNING
50,UNPROVOKED,2023-01-08,SPAIN,Valencia,Rabdells Beach,SWIMMING,INJURY,NOON
51,PROVOKED,2023-01-08,PORTUGAL,Norte,9 nm off Vila do Conde,FISHING,INJURY,DUSK
52,UNPROVOKED,2023-01-08,SAMOA,Savai'i island,Lano,,FATALITY,DUSK
53,UNPROVOKED,2023-01-08,USA,New York,Rockaway,SWIMMING,INJURY,AFTERNOON
54,UNPROVOKED,2023-01-07,USA,Florida,"New Smyrna Beach, Volusia County",SURFING,INJURY,MORNING
55,UNPROVOKED,2023-01-07,USA,Florida,"Anna Maria Island, Manatee County",DIVING,INJURY,AFTERNOON
56,UNPROVOKED,2023-01-07,USA,Florida,Tampa Bay,SWIMMING,,DUSK
57,UNPROVOKED,2023-01-07,AUSTRALIA,Western Australia,Gnarabup Beach,SURFING,INJURY,MORNING
58,UNPROVOKED,2023-01-07,AUSTRALIA,Western Australia,Yallingup Lagoon,DIVING,INJURY,
59,UNPROVOKED,2023-01-07,USA,South Carolina,"Sea Pines Beach, Hilton Head Island, Beaufort County",SURFING,INJURY,NOON
60,UNPROVOKED,2023-01-07,COLOMBIA,San Andrés Island,Nirvana,DIVING,INJURY,NOON
61,UNPROVOKED,2023-01-07,USA,Florida,New Smyrna Beach,PASSIVE,,NOON
62,UNPROVOKED,2023-01-07,USA,Florida,New Smyrna Beach,SURFING,,AFTERNOON
63,WATERCRAFT,2023-01-07,SOUTH AFRICA,Eastern Cape Province,Chinta East,,,
64,UNPROVOKED,2023-01-07,ECUADOR,Galapagos Islands,Mosquera Islet,DIVING,,
65,UNPROVOKED,2023-01-07,USA,New York,"Cherry Grove, Suffolk County",PASSIVE,INJURY,AFTERNOON
66,UNPROVOKED,2023-01-07,USA,New York,"Fire Island Pines, Suffolk County",SWIMMING,INJURY,NOON
67,UNPROVOKED,2023-01-07,USA,New York,"Quogue Village Beach, Suffolk County",SWIMMING,INJURY,NOON
68,UNPROVOKED,2023-01-07,USA,New York,"Kismet Beach, Suffolk County",SURFING,INJURY,AFTERNOON
69,UNPROVOKED,2023-01-07,USA,New York,"Beach 3, Robert Moses State Park, Suffolk County",SWIMMING,INJURY,NOON
70,UNPROVOKED,2023-01-06,USA,Florida,"Cocoa Beach, Brevard County",SWIMMING,INJURY,
71,UNPROVOKED,2023-01-06,USA,Florida,"Flamingo Marina, Homestead, Miami-Dade County",FISHING,INJURY,MORNING
72,UNPROVOKED,2023-01-06,USA,Hawaii,Laysan,,INJURY,
73,UNPROVOKED,2023-01-06,EGYPT,Red Sea Protectorate,"Dream Beach, Hurguda",SWIMMING,FATALITY,AFTERNOON
74,UNPROVOKED,2023-01-06,BAHAMAS,Freeport,Shark Junction,DIVING,INJURY,NOON
75,UNPROVOKED,2023-01-05,FRENCH POLYNESIA,Tahiti,"Matavai Bay, Arue, Papetee",,INJURY,NOON
76,UNPROVOKED,2023-01-05,NEW CALEDONIA,Poum,Twagne,DIVING,FATALITY,NOON
77,UNPROVOKED,2023-01-05,TURKS AND CAICOS,Providenciales Island,Grace Bay Beach,DIVING,,AFTERNOON
78,,2023-01-05,BAHAMAS,Lucayan Lucayan Archipelago,Athol Island,SWIMMING,FATALITY,NIGHT
79,UNPROVOKED,2023-01-05,USA,New Jersey,"Stone Harbor, Cape May County",SURFING,INJURY,AFTERNOON
80,PROVOKED,2023-01-05,USA,Florida,"Flagship Drive, Summerland Key, Monroe County",FISHING,INJURY,DUSK
81,UNPROVOKED,2023-01-05,USA,Florida,"Marathon, Monroe County",DIVING,,AFTERNOON
82,UNPROVOKED,2023-01-05,USA,South Carolina,"Isle of Palms, Charleston County",SWIMMING,INJURY,AFTERNOON
83,UNPROVOKED,2023-01-05,AUSTRALIA,South Australia,Elliston,SURFING,FATALITY,MORNING
84,UNPROVOKED,2023-01-05,USA,Florida,"Fort Pierce, St. Lucie County",PASSIVE,INJURY,NOON
85,PROVOKED,2023-01-05,USA,Hawaii,"Kualoa, Oahu",BOATING,INJURY,
86,PROVOKED,2023-01-05,CUBA,Mayabeque,Puerto Escondido,DIVING,FATALITY,
87,UNPROVOKED,2023-01-05,USA,Florida,"Davis Reef, Islamorada, Monroe County",DIVING,INJURY,NOON
88,UNPROVOKED,2023-01-05,SOUTH AFRICA,Easten Cape Province,"Supertubes, Jeffreys Bay",SURFING,INJURY,DUSK
89,UNPROVOKED,2023-01-05,SOUTH AFRICA,Easten Cape Province,Mngcibe Beach,DIVING,INJURY,
90,UNPROVOKED,2023-01-04,AUSTRALIA,Western Australia,"Yallingup, Busselton",SWIMMING,INJURY,NOON
91,UNPROVOKED,2023-01-04,AUSTRALIA,Western Australia,"Kurrajong Campground, Exnouth",DIVING,,AFTERNOON
92,UNPROVOKED,2023-01-04,USA,Florida,"Anna Maria Island, Manatee County",DIVING,INJURY,
93,UNPROVOKED,2023-01-04,AUSTRALIA,Western Australia,Lucy's Beach,SURFING,INJURY,MORNING
94,UNPROVOKED,2023-01-04,USA,Florida,"Virginia Key, Monroe County",,INJURY,AFTERNOON
95,WATERCRAFT,2023-01-04,USA,Florida,Off Boca Raton. Palm Beach County,BOATING,,MORNING
96,UNPROVOKED,2023-01-04,USA,Hawaii,"Kewalos, Oahu",SURFING,INJURY,MORNING
97,UNPROVOKED,2023-01-03,USA,Florida,"Blue Fish Channel, Key West, Monroe County",SURFING,INJURY,NOON
98,PROVOKED,2023-01-03,CUBA,Artemisa,Playa Majana,FISHING,INJURY,
99,UNPROVOKED,2023-01-03,AUSTRALIA,Western Australia,Delta Island,SWIMMING,INJURY,AFTERNOON
100,UNPROVOKED,2023-01-03,USA,Hawaii,Anaehoomalu Bay,SWIMMING,,NOON
101,,2023-01-03,MEXICO,Quintana Roo,Cancún,SWIMMING,,
102,UNPROVOKED,2023-01-03,AUSTRALIA,Western Australia,Cheynes Beach,SURFING,,MORNING
103,UNPROVOKED,2023-01-03,BRAZIL,Pernambuco,Piedade Beach,SWIMMING,INJURY,NOON
104,UNPROVOKED,2023-01-03,BRAZIL,Pernambuco,Piedade Beach,SWIMMING,INJURY,
105,UNPROVOKED,2023-01-03,SEYCHELLES,Praslin Island,,DIVING,INJURY,NOON
106,UNPROVOKED,2023-01-02,BRAZIL,Pernambuco,Praia de Milagres,SURFING,INJURY,AFTERNOON
107,UNPROVOKED,2023-01-02,NEW CALEDONIA,South Province,"Château-Royal Beach , Noumea",SWIMMING,FATALITY,AFTERNOON
108,UNPROVOKED,2023-01-02,USA,Florida,"Jupiter Island, Martin County",SURFING,INJURY,AFTERNOON
109,,2023-01-02,ARGENTINA,Patagonia,Chubut Province,,,
110,,2023-01-02,FIJI,Taveuni Island,Ura Estate,DIVING,,MORNING
111,UNPROVOKED,2023-01-02,AUSTRALIA,Western Australia,Freemantle,SWIMMING,FATALITY,AFTERNOON
112,UNPROVOKED,2023-01-01,AUSTRALIA,Queensland,Lady Musgrave Island,FISHING,INJURY,
113,UNPROVOKED,2023-01-01,NEW CALEDONIA,South Province,"Chateau Royal Beach, Noumea",SWIMMING,,MORNING
114,UNPROVOKED,2023-01-01,USA,Florida,"Outer Mole, Fort Zachrry Tatlor Historic Park, Key West, Monroe County",SWIMMING,INJURY,NOON
115,UNPROVOKED,2023-01-01,MEXICO,Gulf of California,Tobari Bay,DIVING,FATALITY,NOON
116,PROVOKED,2023-01-01,USA,Florida,70 miles off Pensacola,DIVING,INJURY,NOON
117,PROVOKED,2023-01-01,MALDIVES,Vaavu Atoll,,DIVING,INJURY,
118,PROVOKED,2022-01-12,SOUTH AFRICA,KNZ,Protea Banks,DIVING,INJURY,MORNING
119,UNPROVOKED,2022-01-12,USA,Hawaii,Anaeho'imalu Bay,SWIMMING,,MORNING
120,UNPROVOKED,2022-01-12,AUSTRALIA,New South ales,Killick Creek near Crescent Head,SWIMMING,INJURY,AFTERNOON
121,UNPROVOKED,2022-01-12,USA,Samoa,Pago Pago Harbor,DIVING,INJURY,NOON
122,UNPROVOKED,2022-01-12,USA,Hawaii,"Keawakapu Point, Kehei, Maui",DIVING,FATALITY,NOON
123,UNPROVOKED,2022-01-12,USA,Texas,,SURFING,INJURY,
124,UNPROVOKED,2022-01-11,USA,Florida,Hobe Sound,SWIMMING,INJURY,NOON
125,UNPROVOKED,2022-01-11,USA,California,"Del Mar Beach, San Diego County",SWIMMING,INJURY,MORNING
126,PROVOKED,2022-01-11,USA,Florida,"Cape San Blas, Gulf County",FISHING,INJURY,AFTERNOON
127,UNPROVOKED,2022-01-10,USA,California,"Otter Point, Pacific Grove",SURFING,INJURY,AFTERNOON
128,UNPROVOKED,2022-01-10,USA,Louisiana,25 mikes from Empire,FISHING,INJURY,MORNING
129,UNPROVOKED,2022-01-10,BAHAMAS,,Cat Island,DIVING,INJURY,
130,PROVOKED,2022-01-10,USA,Mississippi,Horn Island,FISHING,INJURY,
131,UNPROVOKED,2022-01-10,USA,Hawaii,Kauai,DIVING,INJURY,NOON
132,UNPROVOKED,2022-01-10,AUSTRALIA,South Australia,Seacliff,SURFING,,NOON
133,PROVOKED,2022-01-10,USA,Florida,"Key Largo, Monroe County",FISHING,INJURY,
134,UNPROVOKED,2022-01-10,USA,Louisiana,25 miles off Empire,DIVING,INJURY,
135,UNPROVOKED,2022-01-10,AUSTRALIA,Western  Australia,Port Hedland,DIVING,INJURY,NOON
136,UNPROVOKED,2022-01-10,AUSTRALIA,Victoria,"Nun's Beach, Portland",SURFING,INJURY,DUSK
137,UNPROVOKED,2022-01-10,USA,California,Centerville Beach,SURFING,INJURY,AFTERNOON
138,UNPROVOKED,2022-01-09,SOUTH AFRICA,Western Cape Province,"Central Beach, Plettenberg Bay",SWIMMING,FATALITY,MORNING
139,UNPROVOKED,2022-01-09,USA,Florida,"Marathon, Monroe County",DIVING,,
140,UNPROVOKED,2022-01-09,BAHAMAS,,Green Cay,DIVING,FATALITY,NOON
141,UNPROVOKED,2022-01-09,USA,Hawaii,"Lower Paia Beach Park, Maui",SWIMMING,INJURY,AFTERNOON
142,UNPROVOKED,2022-01-08,AUSTRALIA,New South Wales,Avoca,SURFING,INJURY,MORNING
143,UNPROVOKED,2022-01-08,AUSTRALIA,New South Wales,Coffs Harbour,BOATING,INJURY,
144,UNPROVOKED,2022-01-08,USA,South Carolina,"Myrtle Beach, Horry County",SWIMMING,INJURY,NOON
145,UNPROVOKED,2022-01-08,USA,South Carolina,"Myrtle Beach, Horry County",PASSIVE,INJURY,NOON
146,UNPROVOKED,2022-01-08,AUSTRALIA,Westerm Australia,Goode Beach,DIVING,INJURY,
147,UNPROVOKED,2022-01-08,USA,Florida,"Looe Key, Monroe County",DIVING,INJURY,AFTERNOON
148,UNPROVOKED,2022-01-08,USA,California,"Lovers Point, Pacific Grove, Monterey County",SURFING,INJURY,NOON
149,UNPROVOKED,2022-01-07,ENGLAND,Cornwall,Penzance,DIVING,INJURY,NOON
150,UNPROVOKED,2022-01-07,USA,Florida,"Florida Keys, Monroe County",,INJURY,
151,UNPROVOKED,2022-01-07,USA,Florida,"Daytona Beach, Volusia County",SWIMMING,INJURY,AFTERNOON
152,UNPROVOKED,2022-01-07,USA,New York,"Kismet Beach, Long Island",SURFING,,AFTERNOON
153,,2022-01-07,USA,Florida,"Cape Canaveral, Brevard County",,INJURY,
154,UNPROVOKED,2022-01-07,USA,Noirth Carolina,"Topsail Beach, Pender County",SURFING,INJURY,MORNING
155,PROVOKED,2022-01-07,USA,Florida,"Content Keys, Monroe County",FISHING,INJURY,AFTERNOON
156,UNPROVOKED,2022-01-07,USA,Florida,"Daytona Beach Shores, Volusia County",,INJURY,NOON
157,UNPROVOKED,2022-01-07,USA,New York,"Seaview Beach, Suffolk County",,INJURY,AFTERNOON
158,UNPROVOKED,2022-01-07,USA,New York,"Smith Point Beach, Suffolk County",SURFING,INJURY,MORNING
159,UNPROVOKED,2022-01-07,USA,Florida,"New Smyrna Beach, Volusia County",SURFING,INJURY,
160,UNPROVOKED,2022-01-07,USA,New York,"Ocean Beach, Long Island",,INJURY,NOON
161,UNPROVOKED,2022-01-07,JAPAN,Okinawa,Nago,DIVING,FATALITY,
162,UNPROVOKED,2022-01-07,USA,Florida,"New Smyrna Beach, Volusia County",SURFING,INJURY,NOON
163,UNPROVOKED,2022-01-07,USA,New York,"Smith Point Beach, Suffolk County",,INJURY,MORNING
164,UNPROVOKED,2022-01-07,INDONESIA,Bali,Balian Beach,SURFING,INJURY,
165,UNPROVOKED,2022-01-07,EGYPT,"Hurghada, Red Sea Governorate",Sahl Hasheesh,DIVING,FATALITY,
166,UNPROVOKED,2022-01-07,EGYPT,"Hurghada, Red Sea Governorate",Sahl Hasheesh,SWIMMING,FATALITY,
167,UNPROVOKED,2022-01-06,USA,New York,"Jones Beach, Nassau County",SWIMMING,INJURY,NOON
168,UNPROVOKED,2022-01-06,USA,Florida,"Keaton Beach,",,INJURY,AFTERNOON
169,UNPROVOKED,2022-01-06,USA,Florida,"Sawyer Key , Monroe County",SWIMMING,INJURY,DUSK
170,UNPROVOKED,2022-01-06,USA,Florida,"Summerland Key, Monroe County",SWIMMING,INJURY,NOON
171,UNPROVOKED,2022-01-06,SOUTH AFRICA,Western Cape Province,"Sanctuary Beach, Plettenberg Bay",SWIMMING,FATALITY,NOON
172,UNPROVOKED,2022-01-06,JAMAICA,,,FISHING,,NOON
173,UNPROVOKED,2022-01-06,USA,Florida,"Redington Beach, Pinellas County",,INJURY,
174,UNPROVOKED,2022-01-06,USA,California,"Pacific Grove, Monterey County",SWIMMING,,MORNING
175,UNPROVOKED,2022-01-06,USA,South Carolina,"Myrtle Beach, Horry County",,,
176,UNPROVOKED,2022-01-06,AUSTRALIA,Western Australia,Oyster Stacks near Exmouth12h15,SWIMMING,INJURY,NOON
177,UNPROVOKED,2022-01-05,AUSTRALIA,Western Australia,Yallingup,SURFING,,
178,UNPROVOKED,2022-01-05,AUSTRALIA,Western Australia,"Royal Perth Yacht Club, Swan River",DIVING,,
179,PROVOKED,2022-01-05,BELIZE,Ambergris Cay,Off San Pedro,DIVING,INJURY,
180,UNPROVOKED,2022-01-05,MALDIVES,,"Maafilaafushi Island, Lhaviyani Atoll",FISHING,INJURY,
181,UNPROVOKED,2022-01-05,FRENCH POLYNESIA,Bora Bora,To'opua,,INJURY,
182,PROVOKED,2022-01-05,USA,Georgia,"Île de Saint Simon, Glynn County",FISHING,INJURY,DUSK
183,UNPROVOKED,2022-01-05,THAILAND,Phuket,Kamala Beach,PASSIVE,INJURY,NOON
184,UNPROVOKED,2022-01-04,FRENCH POLYNESIA,Tahiti,"Pointe des pêcheurs, Punaahuia",,,MORNING
185,UNPROVOKED,2022-01-04,AUSTRALIA,,,SURFING,,
186,UNPROVOKED,2022-01-04,USA,Florida,"Whale Harbor, Islamorada, Monroe County",,INJURY,AFTERNOON
187,UNPROVOKED,2022-01-04,USA,Alabama,"Gulf Shores, Baldwin County",SWIMMING,INJURY,NOON
188,UNPROVOKED,2022-01-04,USA,Florida,"Higkand Beach, Palm Beach County",PASSIVE,INJURY,AFTERNOON
189,PROVOKED,2022-01-04,USA,New Jersey,Tutle Back Zoo,,,NOON
190,UNPROVOKED,2022-01-04,USA,Florida,Canaveral National Seashore,BOATING,INJURY,MORNING
191,,2022-01-04,SOUTH AFRICA,KZN,LaLucia,,,
192,PROVOKED,2022-01-03,USA,Florida,"Lake Worth Beach, Palm Beach County",FISHING,INJURY,MORNING
193,UNPROVOKED,2022-01-03,COLUMBIA,Isla De San Andres,La Piscinita,SWIMMING,FATALITY,
194,UNPROVOKED,2022-01-03,NEW ZEALAND,South Island,Cobden,SURFING,,
195,UNPROVOKED,2022-01-03,AUSTRALIA,New South Wales,Crowdy Baay,SURFING,INJURY,AFTERNOON
196,UNPROVOKED,2022-01-03,AUSTRALIA,New South Wales,Crowdy Baay,SWIMMING,,AFTERNOON
197,UNPROVOKED,2022-01-03,USA,Florida,"New Smyrna Beach, Volusia County",SURFING,INJURY,AFTERNOON
198,PROVOKED,2022-01-03,USA,Florida,"New Smyrna Beach, Volusia County",FISHING,INJURY,AFTERNOON
199,UNPROVOKED,2022-01-03,AUSTRALIA,New South Wales,Maroubra,SURFING,INJURY,MORNING
200,UNPROVOKED,2022-01-02,USA,California,"San Miguel Islandl, Santa Barbara County",SURFING,FATALITY,NOON
201,,2022-01-02,BAHAMAS,Grand  Bahama Island,Tiger Beach,DIVING,INJURY,NOON
202,UNPROVOKED,2022-01-02,AUSTRALIA,Queensland,Redcliffe,,INJURY,
203,UNPROVOKED,2022-01-02,AUSTRALIA,New South Wales,"Buchan Point, Sydney",SWIMMING,FATALITY,AFTERNOON
204,UNPROVOKED,2022-01-02,MEXICO,Sonora,Yavaros,SURFING,FATALITY,MORNING
205,UNPROVOKED,2022-01-02,USA,Florida,"Cocoa Beach, Brevard  County",SURFING,INJURY,AFTERNOON
206,PROVOKED,2022-01-02,BAHAMAS,,,,INJURY,
207,,2022-01-02,COSTA RICA,Guanacoste,Playa Del Coco,DIVING,INJURY,
208,UNPROVOKED,2022-01-02,AUSTRALIA,Western Australia,"Beds, Wylie Bay, Esperance",SWIMMING,INJURY,NOON
209,UNPROVOKED,2022-01-01,AUSTRALIA,New South Wales,Warriewood,SWIMMING,INJURY,
210,UNPROVOKED,2022-01-01,AUSTRALIA,Western Australia,Whalers Beach,DIVING,INJURY,
211,PROVOKED,2022-01-01,SOUTH AFRICA,KwaZulu-Natal,"Off Beachbums, Tongaat",FISHING,INJURY,MORNING
212,UNPROVOKED,2022-01-01,NEW ZEALAND,South Island,"Friendly Bay, Oamaru",SWIMMING,INJURY,AFTERNOON
213,UNPROVOKED,2022-01-01,USA,Florida,"Anna Maria Island, Manatee County",SURFING,INJURY,NOON
214,UNPROVOKED,2022-01-01,AUSTRALIA,New South Wales,"Hyams Beach, Jervis Bay",,INJURY,
215,UNPROVOKED,2022-01-01,AUSTRALIA,Western Australia,North Lancelin,SURFING,,
216,UNPROVOKED,2021-01-12,NEW ZEALAND,South Island,Pororari River,SWIMMING,INJURY,
217,UNPROVOKED,2021-01-12,USA,Florida,"Anna Maria Island, Manatee County",SURFING,INJURY,
218,UNPROVOKED,2021-01-12,AUSTRALIA,Queensland,Yarrabah,DIVING,INJURY,MORNING
219,UNPROVOKED,2021-01-12,MEXICO,Quintana Roo,Mahahual,DIVING,INJURY,
220,UNPROVOKED,2021-01-12,AUSTRALIA,Victoria,Ocean Grove Beach,SWIMMING,INJURY,DUSK
221,UNPROVOKED,2021-01-12,AUSTRALIA,Victoria,Ocean Grove  Beach,SWIMMING,INJURY,DUSK
222,UNPROVOKED,2021-01-12,USA,Hawaii,"Banyans, Kailua-Kona",SURFING,INJURY,
223,UNPROVOKED,2021-01-12,BRAZIL,São Paulo.,Boqueirão Beach,PASSIVE,INJURY,NOON
224,UNPROVOKED,2021-01-11,USA,Hawaii,"Lahaina, Maui",DIVING,INJURY,MORNING
225,UNPROVOKED,2021-01-11,AUSTRALIA,Western Australia,"Port Beach, North Freemantle",SWIMMING,FATALITY,MORNING
226,UNPROVOKED,2021-01-11,BRAZIL,São Paulo.,Ubatuba Beach,SWIMMING,INJURY,
227,UNPROVOKED,2021-01-11,NEW ZEALAND,North Island,Taranaki,SURFING,INJURY,
228,,2021-01-10,AUSTRALIA,Queensland,Sudbury Island,DIVING,,
229,UNPROVOKED,2021-01-10,AUSTRALIA,Queensland,"Hook Island, Whitsundays",SWIMMING,INJURY,DUSK
230,UNPROVOKED,2021-01-10,USA,Florida,"Fort Pierce State Park, St. Lucie County",SURFING,INJURY,
231,UNPROVOKED,2021-01-10,USA,Florida,"Jensen Beach, Martin County",SWIMMING,INJURY,NOON
232,UNPROVOKED,2021-01-10,USA,California,"Salmon Creek Beach, Sonoma County",SURFING,INJURY,MORNING
233,,2021-01-09,EGYPT,,Sidi Abdel Rahmen,SWIMMING,INJURY,
234,UNPROVOKED,2021-01-09,USA,Florida,"Ponce Inlet, Volusia County",SURFING,INJURY,NOON
235,UNPROVOKED,2021-01-09,AUSTRALIA,New South Wales,Emerald Beach,SURFING,FATALITY,MORNING
236,UNPROVOKED,2021-01-09,BRITISH OVERSEAS TERRITORY,Turks and Caicos,,,INJURY,
237,UNPROVOKED,2021-01-09,USA,Louisiana,off Grand Isle,SWIMMING,,NOON
238,UNPROVOKED,2021-01-08,USA,Texas,"Galveston Island, Galveston County",SURFING,INJURY,NOON
239,UNPROVOKED,2021-01-08,USA,Florida,"Walton Beach Psrk, St. Lucie County",SURFING,INJURY,
240,UNPROVOKED,2021-01-08,CANADA,Nova Scotia,Cape Breton Island,SWIMMING,INJURY,AFTERNOON
241,PROVOKED,2021-01-08,AUSTRALIA,Queensland,North Stradbroke Island,,INJURY,
242,UNPROVOKED,2021-01-08,USA,Florida,"New Smyrna Beach, Volusia County",SURFING,INJURY,MORNING
243,UNPROVOKED,2021-01-08,USA,Florida,"Key Largo, Monroe County",DIVING,INJURY,MORNING
244,UNPROVOKED,2021-01-08,USA,South Carolina,"Hilton Head Island, Beaufort County",,INJURY,NOON
245,UNPROVOKED,2021-01-08,USA,Maryland,"Ocean City, Worcester County",SWIMMING,INJURY,AFTERNOON
246,PROVOKED,2021-01-07,USA,Florida,"Ponce Inlet, Volusia County",FISHING,INJURY,NOON
247,UNPROVOKED,2021-01-07,USA,North Carolina,Wrightsville Beach,PASSIVE,INJURY,NOON
248,UNPROVOKED,2021-01-07,USA,Georgia,"Tybee Island, Chatham County",SURFING,INJURY,
249,PROVOKED,2021-01-07,AUSTRALIA,Western Australia,Varanus Island,FISHING,INJURY,DUSK
250,UNPROVOKED,2021-01-07,USA,New York,"Jones Beach, Nassau County",SWIMMING,INJURY,NOON
251,UNPROVOKED,2021-01-07,BRAZIL,Pernambuco,Piedade,,INJURY,
252,PROVOKED,2021-01-07,THAILAND,Chanthaburi Province,Kung Krabaenbay Royal Département Study Center,,INJURY,
253,UNPROVOKED,2021-01-07,USA,California,"Capitola Beach, Santa Cruz County",SURFING,,
254,,2021-01-07,USA,Florida,"Near Patrick AFB, Brevard County",,INJURY,NOON
255,UNPROVOKED,2021-01-07,AUSTRALIA,Western Australia,Rottnest Island,SURFING,,NOON
